,id,text
15,0,"['rt', '@jeonsatellite:', ""i'm"", 'very', 'sad', 'https://t', 'co/axifge3pms']"
16,0,"['having', 'someone', 'in', 'boot', 'camp', 'you', 'care', 'about', 'is', 'just', 'as', 'sad', 'as', 'being', 'in', 'boot', 'camp']"
17,0,"['so', 'sad', 'to', 'hear', 'that', ""i'll"", 'be', 'waiting', 'a', 'further', '6', 'months', 'to', 'play', 'borderlands', '3']"
18,0,"['rt', '@jeremycorbyn:', 'sad', 'to', 'hear', 'of', 'the', 'death', 'of', 'my', 'friend', 'narendra', 'makanji', 'yesterday', 'he', 'spent', 'his', 'life', 'working', 'to', 'improve', 'other', ""people's"", 'liv']"
19,0,"['rt', '@morninafterkill:', 'we', 'waited', 'so', 'long', 'for', 'borderlands', '1', 'remastered', 'and', 'borderlands', '3', ""it's"", 'sad', 'to', 'see', 'people', 'acting', 'this', 'way', 'because', 'of', 'a']"
20,0,"['im', 'sad', 'because', 'i', 'really', 'want', 'the', 'pink', 'dnp', 'hoodie', 'but', 'i', 'have', 'no', 'money', 'to', 'my', 'name', 'atm', ':(', 'https://t', 'co/ymnzkymozs']"
21,0,"['yes', 'dli', 'ko', 'high', 'pride', 'na', 'pagkatao', 'esp', 'igf', 'i', 'know', 'it', 'is', 'my', 'fault', 'and', 'i', 'also', 'know', 'how', 'to', 'say', 'sorry', 'para', 'sa', 'angay', 'sad', 'ignan', 'ug', 'sorry', ""i'm"", 'an', 'essy', 'person', 'not', 'that', 'easy', 'to', 'get', 'but', 'easy', 'to', 'to', 'talk', 'anyaways', ""it's"", 'my', 'mistake', 'not', 'yours', 'so', ""i'll"", 'be', 'the', 'one', 'to', 'take', 'over', 'all', 'of', 'these']"
22,0,"['rt', '@dianazamoraxox:', 'its', 'sad', 'how', 'u', 'can', 'actually', 'feel', 'your', 'heart', 'break', 'into', 'a', 'million', 'pieces']"
23,0,"['awww', 'my', 'heart', 'this', 'is', 'so', 'sad', 'corrie']"
24,0,"['rt', '@moshwithtyler:', 'sad', 'get', 'a', 'tattoo', 'someone', 'broke', 'your', 'heart', 'get', 'a', 'tattoo', 'bored', 'get', 'a', 'tattoo', 'afraid', 'of', 'the', 'overwhelming', 'pressure', 'of', 'l']"
25,0,"['its', 'really', 'hard', 'to', 'describe', 'why', 'they', 'mean', 'a', 'lot', 'to', 'me', 'without', 'getting', 'really', 'personal', 'sad', 'and', 'into', 'spoiler', 'territory', 'so', 'i', 'wont', 'go', 'into', 'it', 'but', 'despite', 'being', 'infuriated', 'by', 'the', 'game', 'play', 'i', 'loved', 'the', 'story']"
26,0,"['rt', '@mhadz0416:', 'i', 'am', 'sad', 'but', ""it's"", 'okay']"
27,0,"['can', 'u', 'guess', 'that', 'we', 'sad', 'https://t', 'co/8sk5llan7r']"
28,0,"['rt', '@smile4mety:', 'ok', 'but', 'taeyong', 'actually', 'read', 'this', 'out', 'loud', 'but', 'there', 'could', 'be', 'so', 'many', 'sht', 'like', 'this', 'that', 'he', 'sees', 'yet', 'chooses', 'to', 'ignore', 'and']"
29,0,"['@peterlucier', 'i', 'mean', 'having', 'a', 'kid', 'is', 'the', 'ultimate', 'demonstration', 'of', 'virility', 'and', 'still', 'some', 'men', 'need', 'this', 'its', 'sad']"
30,0,"['@kamilleziak', '@koethekoethe', 'tone', ""don't"", 'fulfil', 'the', 'expectation', 'and', 'it', 'makes', 'the', 'unfairness', 'of', 'the', 'fate', 'forcing', 'max', 'make', 'her', 'decision', 'more', 'present', 'in', 'the', 'song', 'the', 'sad', 'feeling', 'from', 'the', 'lyrics', 'and', 'the', 'joyful', 'tune', 'just', 'make', 'a', 'huge', 'conflict', 'in', 'my', 'brain', 'and', 'that', 'is', 'what', 'makes', 'it', 'more', 'impactful', 'for', 'me']"
31,0,"['i', 'finished', 'pq', 'and', 'now', 'im', 'really', 'sad', 'the', 'themes', 'and', 'zen', 'and', 'rei', 'especially', 'do', 'mean', 'a', 'lot', 'to', 'me', 'zen', 'and', 'rei', 'are', 'not', 'my', 'all', 'time', 'favorite', 'characters', 'but', 'theyre', 'definitely', 'up', 'there', 'as', 'some', 'of', 'my', 'favorites']"
32,0,"['im', 'so', 'sad', 'i', 'rewatched', 'all', 'the', 'mfal', 'stages', 'in', 'this', 'video', 'sad', 'sad', 'sad']"
33,0,"['rt', '@rjmxrell:', 'too', 'young', 'to', 'be', 'sad', 'this', 'much']"
34,0,"['rt', '@trashboyla:', 'so', 'it', 'turns', 'out', 'that', '@nipseyhussle', 'was', 'my', 'friend', 'ermias', 'from', 'elementary', 'school', 'sad', 'we', 'lost', 'touch', 'and', 'even', 'sadder', 'to', 'learn']"
35,0,"['@bbcdebatenight', 'what', 'a', 'sad', 'little', 'individual', 'he', 'will', 'get', 'his', 'comeuppance', 'and', ""let's"", 'hope', ""it's"", 'terminal']"
36,0,"['me', 'planning', 'au', 'fic', 'for', 'my', 'sad', 'werewolf', 'd&amp', 'd', 'son', ""it's"", 'more', 'likely', 'than', 'you', 'think']"
37,0,"['@deafshowrunner', '@pocdeaftalent', 'wow', 'this', 'is', 'really', 'sad']"
38,0,"['@texasinafrica', 'wow', 'this', 'is', 'sad', 'so', 'weak', 'minded', 'and', 'coddled', '@baylor', 'used', 'to', 'produce', 'the', 'finest', 'graduates', '(my', 'father', 'being', 'one)', 'now', 'its', 'just', 'sad']"
39,0,"['rt', '@nipseyfanpage:', ""nipsey's"", 'friend/business', 'partner', 'clarifies', 'what', 'really', 'happened', 'between', 'eric', 'holder', 'and', 'nip', 'this', 'is', 'just', 'too', 'sad', 'nip', 'd']"
40,0,"['rt', '@gopleader:', 'today', 'is', 'a', 'sad', 'day', 'nearly', 'every', 'single', 'democrat', 'just', 'voted', 'against', 'israel', 'and', 'in', 'support', 'of', 'the', 'bds', 'movement', 'that', 'seeks', 'to']"
41,0,"['rt', '@jacobmargolis:', 'sad', 'news', 'mars', 'rover', 'opportunity', 'is', 'probably', 'done', 'sometime', 'tonight', 'a', 'team', '@nasajpl', 'will', 'make', 'their', 'final', 'attempt', 'to', 'c']"
42,0,"['@mavcarter', 'hate', 'and', 'jealousy', 'is', 'a', 'big', 'problem', 'this', 'situation', 'is', 'incredibly', 'sad']"
43,0,"['rt', '@chrisobore1:', 'my', 'tormentor', 'comes', 'pretending', 'to', 'condole', 'with', 'me', 'carries', 'a', 'wreath', 'i', 'fail', 'to', 'recognize', 'him', 'because', 'i', 'am', 'in', 'too', 'sad', 'state']"
44,0,"['rt', '@hiplikejibooty:', 'sis', 'it', 'really', 'makes', 'me', 'sad', 'when', 'they', 'will', 'follow', 'me', 'and', 'after', 'i', 'follow', 'them@back', 'theyll', 'unfollow', 'me', 'like', 'i', 'am', 'not', 'he']"
45,0,"['when', 'all', 'ur', 'pals', 'r', 'in', 'different', 'countriesplz', 'come', 'home', 'im', 'sad', 'n', 'alone']"
46,0,"['rt', '@soochoifolder:', 'hello', 'i', 'am', '@bts_twt', 'jimin', 'i', 'was', 'sad', 'my', 'alma', 'mater', 'hwaedong', 'elementary', 'school', 'closed', 'but', 'i', 'heard', 'that', 'space', 'is', 'now', 'rebor']"
47,0,"['i', 'really', 'wish', 'i', 'could', 'go', 'to', 'london', 'for', 'another', 'shawns', 'show', 'but', 'i', 'have', 'other', 'money', 'priorities', 'and', 'i', 'have', 'to', 'leave', 'this', 'chance', 'here', 'i', 'wont', 'see', 'him', 'for', '2', 'years', 'or', 'more', 'and', 'this', 'makes', 'me', 'so', 'sad']"
48,0,"['rt', '@incorrectpjm:', 'seokjin:', 'why', 'are', 'taehyung', 'and', 'jimin', 'sitting', 'back', 'to', 'back', 'hoseok:', 'they', 'had', 'a', 'fight', 'seokjin:', 'then', 'why', 'are', 'they', 'hold']"
49,0,"['rt', '@pinkkkkkk__:', ""ain't"", 'no', 'real', 'bitch', 'gone', 'beef', 'wit', 'another', 'bitch', 'over', 'a', 'nigga', 'who', 'playing', 'both', 'sides', 'no', 'matter', 'how', 'hard', 'it', 'may', 'be', 'a', 'real']"
